날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2025-10-17,8940,8940,8570,8610,41551,-2.380952380952381,035000,HS애드
2025-10-17,10250,10250,9910,9910,41744,-2.6522593320235757,002460,HS화성
2025-10-17,60000,60800,58800,58800,7862,-2.809917355371901,487570,HS효성
2025-10-17,183200,187800,182600,185000,15839,0.05408328826392645,298050,HS효성첨단소재
2025-10-17,0,0,0,10760,0,0.0,003560,IHQ
2025-10-17,61200,61200,59300,60100,12552,-1.7973856209150325,015360,INVENI
2025-10-17,22900,23000,22550,22700,239344,-1.9438444924406046,175330,JB금융지주
2025-10-17,12650,12680,12500,12510,38176,-1.1067193675889329,234080,JW생명과학
2025-10-17,21700,22300,21550,21900,61896,1.3888888888888888,001060,JW중외제약
2025-10-17,60000,60000,60000,60000,10,-0.33222591362126247,001067,JW중외제약2우B
2025-10-17,27800,27800,27300,27500,253,0.0,001065,JW중외제약우
2025-10-17,3220,3265,3205,3205,74655,-0.4658385093167702,096760,JW홀딩스
2025-10-17,2600,2855,2540,2610,4653256,-0.19120458891013384,008970,KBI동양철관
2025-10-17,112500,115900,112400,114000,798346,0.2638522427440633,105560,KB금융
2025-10-17,9340,9420,9240,9350,174160,0.8629989212513484,415640,KB발해인프라
2025-10-17,3980,3985,3945,3985,77108,0.12562814070351758,432320,KB스타리츠
2025-10-17,390000,399000,387500,395500,36904,0.5082592121982211,002380,KCC
2025-10-17,27650,27650,26850,27050,70969,-2.3465703971119134,344820,KCC글라스
2025-10-17,5700,5720,5470,5520,422270,-3.327495621716287,009070,KCTC
2025-10-17,0,0,0,756,0,0.0,009440,KC그린홀딩스
2025-10-17,0,0,0,918,0,0.0,119650,KC코트렐
2025-10-17,858,912,850,851,2092327,-0.7001166861143524,092220,KEC
2025-10-17,3450,3480,3380,3420,245262,-1.0130246020260492,003620,KG모빌리티
2025-10-17,5720,5790,5650,5680,107289,-0.17574692442882248,016380,KG스틸
2025-10-17,5210,5210,5060,5090,260429,-2.3032629558541267,001390,KG케미칼
2025-10-17,0,0,0,5310,0,0.0,033180,KH 필룩스
2025-10-17,25150,25300,24100,24700,28037,-1.984126984126984,001940,KISCO홀딩스
2025-10-17,48550,49150,48000,48250,8584,-0.5154639175257731,025000,KPX케미칼
2025-10-17,68900,69800,68100,69800,1815,1.0130246020260492,092230,KPX홀딩스
2025-10-17,510,514,504,505,197813,-0.9803921568627451,000040,KR모터스
2025-10-17,9340,9440,9250,9390,57314,0.8592910848549946,044450,KSS해운
2025-10-17,49550,50300,49550,49950,300647,-0.1,030200,KT
2025-10-17,138100,140300,138100,139400,321837,0.5046863734679163,033780,KT&G
2025-10-17,3070,3075,2965,2970,540091,-3.257328990228013,058850,KTcs
2025-10-17,2815,2820,2780,2790,138087,-1.238938053097345,058860,KTis
2025-10-17,18190,18360,17940,18200,62067,0.0,093050,LF
2025-10-17,73500,75000,73400,73600,294232,-0.6747638326585695,003550,LG
2025-10-17,14260,14470,14120,14370,1800788,-0.06954102920723226,034220,LG디스플레이
2025-10-17,283000,284000,281000,281500,39510,-0.7054673721340388,051900,LG생활건강
2025-10-17,115000,115200,114000,114700,8745,-0.26086956521739135,051905,LG생활건강우
2025-10-17,63300,63300,61600,62300,669064,-1.7350157728706623,064400,LG씨엔에스
2025-10-17,416000,443000,411500,434000,946272,3.2104637336504163,373220,LG에너지솔루션
2025-10-17,62900,63200,62300,62500,10150,-0.7936507936507936,003555,LG우
2025-10-17,15060,15230,14900,14910,980806,-1.9723865877712032,032640,LG유플러스
2025-10-17,196600,213000,196500,209500,306582,5.808080808080808,011070,LG이노텍
2025-10-17,83300,84700,83100,84200,556190,0.3575685339690107,066570,LG전자
2025-10-17,40650,41000,40200,40950,73177,0.6142506142506142,066575,LG전자우
2025-10-17,2660,2665,2615,2630,93149,-1.1278195488721803,037560,LG헬로비전
2025-10-17,309500,350000,308500,339000,1150682,8.653846153846153,051910,LG화학
2025-10-17,155000,169200,153500,167400,116874,7.860824742268041,051915,LG화학우
2025-10-17,439500,443500,430500,433500,155377,-2.584269662921348,079550,LIG넥스원
2025-10-17,187800,191400,184600,187800,245809,2.176278563656148,006260,LS
2025-10-17,307000,309000,299500,302000,224365,-0.9836065573770493,010120,LS ELECTRIC
2025-10-17,3535,3575,3440,3460,217827,-2.8089887640449436,000680,LS네트웍스
2025-10-17,42550,44150,42100,43000,416913,-1.7142857142857144,229640,LS에코에너지
2025-10-17,58500,59000,57300,57300,76121,-2.218430034129693,108320,LX세미콘
2025-10-17,30300,30300,29600,29650,196682,-2.3064250411861615,001120,LX인터내셔널
2025-10-17,28100,28450,27950,28200,23581,-0.35335689045936397,108670,LX하우시스
2025-10-17,17060,17150,17000,17020,2839,-0.5260081823495032,108675,LX하우시스우
2025-10-17,8120,8140,8000,8080,228624,-0.6150061500615006,383800,LX홀딩스
2025-10-17,8560,8770,8440,8540,1089,-0.23364485981308408,38380K,LX홀딩스1우
2025-10-17,5050,5080,5030,5070,9242,0.39603960396039606,023150,MH에탄올
2025-10-17,260000,260500,254000,255500,1478832,-1.9193857965451053,035420,NAVER
2025-10-17,26150,26800,25950,26300,65128,-0.18975332068311196,181710,NHN
2025-10-17,3390,3400,3365,3380,130025,-0.5882352941176471,400760,NH올원리츠
2025-10-17,20050,20250,19750,19850,519128,-1.9753086419753085,005940,NH투자증권
2025-10-17,18080,18090,17900,17980,45612,-0.5530973451327433,005945,NH투자증권우
2025-10-17,4820,4820,4770,4790,59028,-0.6224066390041494,338100,NH프라임리츠
2025-10-17,13440,13450,13155,13350,62589,-0.6696428571428571,034310,NICE
2025-10-17,13640,13640,13300,13420,85842,-1.6129032258064515,030190,NICE평가정보
2025-10-17,3555,3565,3430,3450,84061,-2.9535864978902953,008260,NI스틸
2025-10-17,4115,4185,4060,4120,31750,0.12150668286755771,004250,NPC
2025-10-17,2490,2510,2470,2500,8731,-0.398406374501992,004255,NPC우
2025-10-17,59300,59800,58300,58700,83774,-1.0118043844856661,456040,OCI
2025-10-17,99700,100500,98300,99400,107486,-1.1928429423459244,010060,OCI홀딩스
2025-10-17,18130,18530,18100,18170,128375,-1.25,178920,PI첨단소재
2025-10-17,5870,6050,5790,5940,154055,0.5076142131979695,001340,PKC
2025-10-17,285500,300000,283000,293000,710893,2.2687609075043627,005490,POSCO홀딩스
2025-10-17,67100,67200,65000,65300,302690,-4.392386530014641,010950,S-Oil
2025-10-17,41500,41800,40000,40400,44925,-2.6506024096385543,010955,S-Oil우
2025-10-17,20300,20350,19910,19910,28322,-2.1621621621621623,034120,SBS
2025-10-17,2785,2825,2775,2810,23264,0.35714285714285715,003080,SB성보
2025-10-17,23150,23200,22900,22950,11585,-0.8639308855291578,005090,SGC에너지
2025-10-17,1732,1732,1681,1707,200416,-0.7558139534883721,001380,SG글로벌
2025-10-17,314,317,312,312,293079,-1.2658227848101267,004060,SG세계물산
2025-10-17,18310,18790,18310,18580,863,0.43243243243243246,001770,SHD
2025-10-17,397,397,393,394,205695,-0.7556675062972292,002360,SH에너지화학
2025-10-17,4820,4835,4725,4750,92192,-1.4522821576763485,009160,SIMPAC
2025-10-17,5790,5930,5680,5770,143833,0.6980802792321117,033530,SJG세종
2025-10-17,3790,3795,3665,3665,115411,-2.5265957446808507,123700,SJM
2025-10-17,3650,3655,3550,3625,11606,-0.5486968449931412,025530,SJM홀딩스
2025-10-17,217500,227000,216000,220500,374450,0.9153318077803204,034730,SK
2025-10-17,106900,112100,106300,109800,517872,1.572617946345976,011790,SKC
2025-10-17,237000,238000,233500,234500,6916,-1.6771488469601679,018670,SK가스
2025-10-17,4750,4750,4650,4665,319749,-1.8927444794952681,001740,SK네트웍스
2025-10-17,51800,51800,50000,50300,18590,-2.3300970873786406,006120,SK디스커버리
2025-10-17,35900,35900,35000,35250,1875,-0.8438818565400843,006125,SK디스커버리우
2025-10-17,12680,12700,12680,12700,92647,0.15772870662460567,210980,SK디앤디
2025-10-17,5090,5110,5040,5070,480839,-0.19685039370078738,395400,SK리츠
2025-10-17,47200,48300,47050,47600,104961,-0.6263048016701461,302440,SK바이오사이언스
2025-10-17,101700,102700,100700,101000,181271,-1.7509727626459144,326030,SK바이오팜
2025-10-17,253500,267000,250500,257500,560679,0.0,402340,SK스퀘어
2025-10-17,31200,34150,30600,33950,706810,8.121019108280255,361610,SK아이이테크놀로지
2025-10-17,22050,22500,20900,21400,2079520,-1.834862385321101,100090,SK오션플랜트
2025-10-17,171000,171900,167700,170000,16365,-0.7009345794392523,03473K,SK우
2025-10-17,114500,119000,113800,116600,701794,0.5172413793103449,096770,SK이노베이션
2025-10-17,72000,74100,71500,73000,7121,0.6896551724137931,096775,SK이노베이션우
2025-10-17,24150,24550,23450,23500,677540,-3.885480572597137,475150,SK이터닉스
2025-10-17,709,709,682,683,3476861,-3.6671368124118473,001510,SK증권
2025-10-17,2575,2575,2400,2540,14995,2.4193548387096775,001515,SK증권우
2025-10-17,59700,62300,59100,60500,72164,0.16556291390728478,285130,SK케미칼
2025-10-17,24850,25600,24850,25300,2979,0.998003992015968,28513K,SK케미칼우
2025-10-17,54600,54700,54300,54500,485639,-0.5474452554744526,017670,SK텔레콤
2025-10-17,451500,475000,449500,465500,4537513,2.8729281767955803,000660,SK하이닉스
2025-10-17,62800,63300,60300,61000,98284,-3.6334913112164293,003570,SNT다이내믹스
2025-10-17,34750,35250,34300,34800,42440,-1.694915254237288,064960,SNT모티브
2025-10-17,50400,50700,47300,47400,379145,-5.105105105105105,100840,SNT에너지
2025-10-17,67400,68000,65600,66000,19916,-3.508771929824561,036530,SNT홀딩스
2025-10-17,51700,51800,51100,51400,5547,-0.3875968992248062,005610,SPC삼립
2025-10-17,0,0,0,3530,0,0.0,011810,STX
2025-10-17,7290,7380,7150,7200,64786,-1.098901098901099,465770,STX그린로지스
2025-10-17,38400,39500,36300,36600,509105,-3.684210526315789,077970,STX엔진
2025-10-17,2590,2605,2535,2565,2324,-0.9652509652509652,002820,SUN&L
2025-10-17,1354,1354,1310,1310,7865,-1.355421686746988,084870,TBH글로벌
2025-10-17,18020,19050,17710,18640,600970,3.6131183991106166,002710,TCC스틸
2025-10-17,18070,18250,18010,18080,50300,-0.6047278724573941,069260,TKG휴켐스
2025-10-17,1806,1823,1770,1778,764833,-0.8365867261572784,007980,TP
2025-10-17,6150,6570,6010,6190,3291978,4.915254237288136,002900,TYM
2025-10-17,1960,1980,1932,1932,7949,-1.4285714285714286,024070,WISCOM
2025-10-17,6700,6710,6510,6550,910335,-2.2388059701492535,037270,YG PLUS
2025-10-17,13610,13620,13280,13320,724359,-3.127272727272727,139130,iM금융지주
2025-10-17,57500,58500,56300,56700,33565,-2.5773195876288657,000500,가온전선
2025-10-17,12240,12380,12120,12180,35488,-0.8950366151342555,000860,강남제비스코
2025-10-17,17600,17730,17590,17590,375947,-0.8455467869222096,035250,강원랜드
2025-10-17,2045,2050,2000,2010,246272,-2.18978102189781,011420,갤럭시아에스엠
2025-10-17,9640,9640,9500,9530,15802,-1.1410788381742738,002100,경농
2025-10-17,73000,73400,71500,72500,27897,0.0,009450,경동나비엔
2025-10-17,20300,20400,20250,20350,12834,0.0,267290,경동도시가스
2025-10-17,56800,57200,55300,56000,22202,-1.7543859649122806,012320,경동인베스트
2025-10-17,6780,6800,6530,6690,26880,-1.0355029585798818,000050,경방
2025-10-17,5960,6080,5860,5990,28560,-0.16666666666666669,214390,경보제약
2025-10-17,3015,3040,2950,2965,74545,-1.658374792703151,012610,경인양행
2025-10-17,20450,20650,20450,20550,1710,-0.7246376811594203,009140,경인전자
2025-10-17,19900,19920,19630,19640,41191,-1.5538847117794485,013580,계룡건설
2025-10-17,1383,1391,1367,1374,33753,-0.6507592190889371,012200,계양전기
2025-10-17,3080,3085,3065,3075,4319,-1.4423076923076923,012205,계양전기우
2025-10-17,2620,2630,2575,2620,99394,0.0,002140,고려산업
2025-10-17,1243000,1270000,1206000,1223000,46006,-5.1937984496124034,010130,고려아연
2025-10-17,17120,17240,16800,17090,16088,1.0047281323877069,002240,고려제강
2025-10-17,5630,5720,5600,5620,63387,-1.056338028169014,009290,광동제약
2025-10-17,1290,1353,1290,1305,275356,-0.6092916984006093,017040,광명전기
2025-10-17,1980,2000,1971,1978,40985,0.0,017900,광전자
2025-10-17,30550,30850,30250,30450,15136,-0.49019607843137253,037710,광주신세계
2025-10-17,9330,9330,9060,9100,160806,-2.88153681963714,030610,교보증권
2025-10-17,4320,4320,4200,4200,81940,-1.9836639439906651,339770,교촌에프앤비
2025-10-17,35100,35750,34750,35300,13522,0.2840909090909091,007690,국도화학
2025-10-17,0,0,0,2110,0,0.0,001140,국보
2025-10-17,4345,4350,4290,4295,85577,-1.7162471395881007,002720,국제약품
2025-10-17,7070,7230,7050,7070,48352,-1.118881118881119,083420,그린케미칼
2025-10-17,3305,3310,3275,3275,162329,-1.0574018126888218,014530,극동유화
2025-10-17,5190,6520,5050,6520,7123226,29.880478087649404,014280,금강공업
2025-10-17,8800,9390,8800,9390,42114,29.87551867219917,014285,금강공업우
2025-10-17,58500,58600,57500,58600,1456,0.17094017094017094,008870,금비
2025-10-17,0,0,0,9900,0,0.0,001570,금양
2025-10-17,3665,3665,3550,3550,116136,-3.1377899045020468,002990,금호건설
2025-10-17,11200,11280,11070,11170,676,-0.08944543828264759,002995,금호건설우
2025-10-17,110800,113000,110000,112300,109699,1.08010801080108,011780,금호석유화학
2025-10-17,59100,59600,58700,59500,7231,0.676818950930626,011785,금호석유화학우
2025-10-17,616,639,610,632,1193694,1.935483870967742,214330,금호에이치티
2025-10-17,731,757,697,710,891114,-2.203856749311295,001210,금호전기
2025-10-17,4555,4665,4535,4640,616172,0.8695652173913043,073240,금호타이어
2025-10-17,2485,2495,2445,2450,20751,-1.4084507042253522,092440,기신정기
2025-10-17,110800,113400,110100,112100,1054766,0.7187780772686434,000270,기아
2025-10-17,19110,19240,19010,19090,680628,-0.8826583592938734,024110,기업은행
2025-10-17,1070,1072,1059,1060,65369,-0.841908325537886,013700,까뮤이앤씨
2025-10-17,1999,2015,1986,1994,68696,-0.15022533800701052,004540,깨끗한나라
2025-10-17,12290,12290,11730,11750,265,0.3415883859948762,004545,깨끗한나라우
2025-10-17,8440,8440,8160,8250,41187,-1.4336917562724014,001260,남광토건
2025-10-17,1117,1145,1115,1124,524044,-0.26619343389529726,008350,남선알미늄
2025-10-17,12700,12700,12510,12510,248,-0.47732696897374705,008355,남선알미우
2025-10-17,957,960,941,958,79489,0.0,004270,남성
2025-10-17,56400,56400,54500,55500,5117,-1.2455516014234875,003920,남양유업
2025-10-17,35700,36600,34900,35950,5531,0.700280112044818,003925,남양유업우
2025-10-17,6740,6750,6650,6680,93188,-0.5952380952380952,025860,남해화학
2025-10-17,5510,5520,5340,5350,44811,-2.9038112522686026,005720,넥센
2025-10-17,5000,5000,4450,4465,157,-3.771551724137931,005725,넥센우
2025-10-17,6190,6190,6030,6140,120186,0.8210180623973727,002350,넥센타이어
2025-10-17,3290,3425,3290,3295,12242,-0.9022556390977444,002355,넥센타이어1우B
2025-10-17,12010,12500,11730,11910,267779,-0.9151414309484194,092790,넥스틸
2025-10-17,55100,55400,53600,54200,170006,-1.9891500904159132,251270,넷마블
2025-10-17,9040,9040,8800,8830,80213,-2.430939226519337,090350,노루페인트
2025-10-17,13480,13690,13360,13360,723,-0.8902077151335311,090355,노루페인트우
2025-10-17,24850,24900,23800,23850,23981,-3.2454361054766734,000320,노루홀딩스
2025-10-17,31400,31750,31200,31650,416,-1.7080745341614907,000325,노루홀딩스우
2025-10-17,129600,130900,127700,128200,72723,-0.9273570324574961,006280,녹십자
2025-10-17,15420,15610,15150,15160,99994,-1.6861219195849546,005250,녹십자홀딩스
2025-10-17,26600,27100,26600,26700,1049,0.0,005257,녹십자홀딩스2우
2025-10-17,429500,432000,424000,429500,36328,0.5854800936768151,004370,농심
2025-10-17,91500,93100,90700,91500,45226,-0.5434782608695652,072710,농심홀딩스
2025-10-17,2840,2935,2810,2865,127401,2.5044722719141324,058730,다스코
2025-10-17,3590,3590,3515,3515,98110,-2.0891364902506964,030210,다올투자증권
2025-10-17,35000,35200,34200,34500,60942,-2.127659574468085,023590,다우기술
2025-10-17,869,869,790,817,250788,-6.091954022988506,145210,다이나믹디자인
